Nama Sekolah,Alamat,Daerah,Kota,Jenis Sekolah,Tipe Sekolah,Kurikulum,Anggaran SPP (Rp),Biaya Masuk (Rp),Bahasa Pengantar,Akreditasi,Fasilitas,Ekskul,Pendidikan Agama,Prestasi,Transportasi,No Telepon,content,score,Website
SD Bintang Timur 47,Jl. Raya Ujung,Johar Baru,Jakarta Pusat,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Olimpiade Matematika,Bus Sekolah,022-7654321,"denpasar bali smp negeri c kolam renang, aula futsal, tari, robotik budha 2795235 1977571",0,www.sdbintangtimur47.sch.id
SD Bintang Timur 43,Jl. Sudirman No.25,Menteng,Jakarta Pusat,SD,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,A,"Kolam Renang, Aula","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Tidak Ada,021-1234567,"denpasar dki jakarta sma negeri a kolam renang, aula basket, pramuka, musik hindu 1567818 3805578",0.097112016,www.sdbintangtimur43.sch.id
TK Ceria 131,Jl. Raya Ujung,Johar Baru,Jakarta Pusat,TK,Nasional Plus,IB,1468260,1225846,Jepang,A,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Kristen,Lomba Tari Provinsi,Bus Sekolah,0361-556677,"jakarta selatan jawa timur sd nasional plus a lab komputer, perpustakaan, lapangan futsal, tari, robotik kristen 1468260 1225846",0.064193838,www.tkceria131.sch.id
Sekolah Harapan Bangsa 140,Jl. Raya Ujung,Pancoran,Jakarta Selatan,TK,Nasional Plus,Kurikulum 2013,1469795,4637485,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Tidak Ada,Olimpiade Matematika,Bus Sekolah,021-1234567,"surabaya dki jakarta tk nasional plus c ruang musik, ruang seni pencak silat, kir tidak ada 1469795 4637485",0.039009916,www.sekolahharapanbangsa140.sch.id
Sekolah Harapan Bangsa 110,Jl. Merdeka No.10,Pancoran,Jakarta Selatan,SD,Nasional,Cambridge,612496,5892001,Mandarin,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Tidak Ada,Juara 1 OSN,Bus Sekolah,031-8765432,"jakarta selatan jawa barat smp nasional c kolam renang, aula futsal, tari, robotik tidak ada 612496 5892001",0.01530929,www.sekolahharapanbangsa110.sch.id
SMP Pelita Ilmu 68,Jl. Mawar No.2,Penjaringan,Jakarta Utara,SMP,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Tidak Ada,022-7654321,"jakarta selatan di yogyakarta sd negeri a lab komputer, perpustakaan, lapangan basket, pramuka, musik tidak ada 173827 13720246",0.096342909,www.smppelitailmu68.sch.id
TK Ceria 86,Jl. Merdeka No.10,Cengkareng,Jakarta Barat,TK,Internasional,Cambridge,468810,7865609,Bahasa Inggris,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Tidak Ada,Olimpiade Matematika,Tidak Ada,021-1234567,"yogyakarta jawa barat sma internasional c kolam renang, aula basket, pramuka, musik tidak ada 468810 7865609",0.054933327,www.tkceria86.sch.id
TK Ceria 255,Jl. Gatot Subroto No.15,Tanjung Priok,Jakarta Utara,TK,Nasional,Cambridge,2253950,13496593,Bahasa Inggris,A,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Tidak Ada,Olimpiade Matematika,Bus Sekolah,022-7654321,"jakarta selatan jawa barat sma nasional a ruang musik, ruang seni pencak silat, kir tidak ada 2253950 13496593",0.035293443,www.tkceria255.sch.id
SMP Pelita Ilmu 97,Jl. Gatot Subroto No.15,Tambora,Jakarta Barat,SMP,Internasional,Cambridge,2901396,16045966,Bahasa Inggris,B,"Kolam Renang, Aula","Basket, Pramuka, Musik",Kristen,Olimpiade Matematika,Tidak Ada,0274-998877,"bandung jawa barat smp internasional b kolam renang, aula basket, pramuka, musik kristen 2901396 16045966",0.034006495,www.smppelitailmu97.sch.id
Sekolah Harapan Bangsa 201,Jl. Gatot Subroto No.15,Tanah Abang,Jakarta Pusat,SMA,Nasional,Kurikulum 2013,1410791,16949953,Bahasa Inggris,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Hindu,Lomba Tari Provinsi,Tidak Ada,021-1234567,"yogyakarta dki jakarta smp nasional b lab komputer, perpustakaan, lapangan pencak silat, kir hindu 1410791 16949953",0.092029836,www.sekolahharapanbangsa201.sch.id
